Variable_Numerica,Variable_Categorica,SOP_F,SOP_P,Cat_F,Cat_P,Interaction_F,Interaction_P,Interaction_Sig,n
Ratio Cintura-Cadera,Embarazada (S/N),0.04794998283087945,0.826753310191042,1.568986865705263,0.210902472695363,0.25580135085558847,0.6132281764640473,No,538
TSH (mUI/L),Embarazada (S/N),0.11351657454091214,0.7363079175907149,1.2457340586540004,0.26487079570064526,0.022431298422956148,0.881001981283832,No,538
AMH (ng/mL),Embarazada (S/N),41.27248020017975,2.9337285441167135e-10,1.4256090634974057,0.23301250009488744,0.04562516179253003,0.8309401585500671,No,538
Prolactina (ng/mL),Embarazada (S/N),0.007163539003356051,0.9325811530694554,0.07086868799281382,0.7901789012769989,0.30597594112294707,0.5803915668066185,No,538
Vitamina D3 (ng/mL),Embarazada (S/N),0.2597919767913818,0.6104736822059618,5.945736400244112,0.015077833139323198,0.7527819431131018,0.3859865990497835,No,538
Progesterona (ng/mL),Embarazada (S/N),0.9747618178419131,0.32394259013635585,1.008213600162062,0.31578595410789584,0.5060226984186226,0.47717629857789023,No,538
Glucosa (mg/dl),Embarazada (S/N),1.3237806102154677,0.2504296293722951,0.0945049726809104,0.758646140314025,2.5438738575735313,0.11131447207587222,No,538
Aumento Peso (S/N),Embarazada (S/N),130.34966411842817,3.647056805285986e-27,0.07312062514876919,0.786950666150212,0.47017686872510966,0.4932033821107178,No,538
Crecimiento Vello (S/N),Embarazada (S/N),148.31794314241859,2.7895541611407214e-30,2.4960998527026796,0.11472074313660721,0.49879182676200695,0.48033948049075514,No,538
Oscurecimiento Piel (S/N),Embarazada (S/N),158.37595530682796,5.46776339011307e-32,0.48351981872711386,0.48713477020950413,0.00012417745531777147,0.9911131241506882,No,538
Pérdida Cabello (S/N),Embarazada (S/N),17.565609518635807,3.248202560119547e-05,0.42904262580601477,0.5127411385456353,7.9760961574700415,0.004917002002201078,Sí,538
Acné (S/N),Embarazada (S/N),48.81211871621953,8.421699829959457e-12,7.4894405991964605,0.006412917103201487,0.1312938874931413,0.7172376014534827,No,538
Comida Rápida (S/N),Embarazada (S/N),93.49072883409774,1.7347512611305423e-20,2.8024556710013604,0.09470561521717229,0.929762669854584,0.3353610532826351,No,538
Ejercicio Regular (S/N),Embarazada (S/N),1.794823837847157,0.1809093717299637,3.0752113153995717,0.08006794811341245,0.05924233748958533,0.8077909606332728,No,538
Presión Sistólica (mmHg),Embarazada (S/N),0.04492223458364096,0.8322279585912981,0.31304749476530525,0.5760507061665687,0.2514801520110475,0.6162414512793943,No,538
Presión Diastólica (mmHg),Embarazada (S/N),0.805146011302958,0.3699635940263635,0.3041862036257009,0.5815005792178751,2.1407093218044575,0.1440238851685914,No,538
Num Folículos (I),Embarazada (S/N),310.4416532995421,4.1048561860455396e-55,3.028939724585411,0.08236749391863508,0.19692080715999907,0.6573975966419725,No,538
Num Folículos (D),Embarazada (S/N),390.6275257382707,1.159691876732982e-65,2.0579517458081424,0.15199893702807984,0.004998207310147792,0.9436645801805928,No,538
Tamaño Folículo Prom (I) (mm),Embarazada (S/N),8.834264902944685,0.0030895814178797097,7.392557778446515,0.006762499690665689,3.5347120430910093,0.0606408862216957,No,538
Tamaño Folículo Prom (D) (mm),Embarazada (S/N),4.593618884000494,0.032542340155130925,7.856620530469595,0.00524753299037476,4.826276938815697,0.02845801267838409,Sí,538
Endometrio (mm),Embarazada (S/N),6.03867377352035,0.014312604926407863,0.021977912478386416,0.8822018353075658,0.1495954251945199,0.699076363711262,No,538
Edad (años),Aumento Peso (S/N),17.123528599836437,4.0688874985607813e-05,1.3983736253004182,0.23752232277447943,1.9575485213614954,0.1623563123978435,No,538
Peso (Kg),Aumento Peso (S/N),0.6870174501316325,0.4075510371417339,85.77566864119487,4.890951040074593e-19,2.041716071696758,0.15362158886566954,No,538
Altura (cm),Aumento Peso (S/N),2.772319109811796,0.09649366919904828,0.12870096481214194,0.7199245344099252,0.007974943819607828,0.9288749572788416,No,538
IMC,Aumento Peso (S/N),0.0003949405028387961,0.9841520191377133,113.99195811371501,2.9924404796885283e-24,2.2957694775145328,0.13031858297793322,No,538
Grupo Sanguíneo,Aumento Peso (S/N),0.752459509601744,0.3860882797548022,0.05543731708154769,0.8139487361938388,4.177387890481144,0.04145687375007552,Sí,538
Frecuencia Cardiaca (lpm),Aumento Peso (S/N),3.442657017802588,0.06408426242600236,0.03163635806958079,0.8588955661410643,1.6945495352639963,0.1935635943420536,No,538
Frecuencia Respiratoria (rpm),Aumento Peso (S/N),0.17559884179193516,0.6753516360736294,0.62993730541327,0.42773084403084083,0.410248885172003,0.5221179525888058,No,538
Hemoglobina (g/dl),Aumento Peso (S/N),1.3612553157777745,0.24384080613170112,2.8201135032235984,0.09367477089871708,0.04404414566729597,0.833851545865665,No,538
Ciclo (R/I),Aumento Peso (S/N),68.78564234200383,8.979292383971975e-16,4.200769925913375,0.040893574062934895,4.3561591372099615,0.037348926624218855,Sí,538
Duración Ciclo (días),Aumento Peso (S/N),9.731466389259241,0.0019092027531848127,2.1415703377314736,0.14394343748991328,2.495924040089968,0.11473348935892029,No,538
Años Casada,Aumento Peso (S/N),8.43561206383402,0.0038317944431595133,0.8774841184993906,0.3493151314397265,0.33857691892406605,0.5608973628822966,No,538
Embarazada (S/N),Aumento Peso (S/N),0.15860969229939015,0.6905989559856311,0.07311135918340717,0.7869638391793261,0.40244793266515977,0.5260994155112831,No,538
Número Abortos,Aumento Peso (S/N),8.040926450369973,0.004746634880335603,13.533486104038898,0.0002580984409859139,1.186448568822456,0.27653840349817554,No,538
beta-HCG I (mUI/mL),Aumento Peso (S/N),0.0023310919152538423,0.9615100435418931,1.3949339703078305,0.2380993903305133,0.021049102533850325,0.88470001345913,No,538
beta-HCG II (mUI/mL),Aumento Peso (S/N),0.09717318919764222,0.7553703248782055,0.05606916019862611,0.8129110786141883,0.6576471268357188,0.4177531102577011,No,538
FSH (mUI/mL),Aumento Peso (S/N),0.0028783425527206742,0.9572339353380895,0.6488280978669068,0.4208904987615779,0.14939686668260677,0.6992663671087431,No,538
LH (mUI/mL),Aumento Peso (S/N),3.1330504335033127,0.0772906187272042,0.010902762851067562,0.9168781965442815,1.1989218041382894,0.27403089531761077,No,538
Ratio FSH/LH,Aumento Peso (S/N),0.1356056037446666,0.7128352503599149,0.9019883651388362,0.342678738503121,0.007385344949474524,0.9315478916944984,No,538
Cadera (pulg),Aumento Peso (S/N),0.4966313693641175,0.4812912576332614,44.25064072881794,7.166267644334096e-11,10.423408220857949,0.0013207221602370086,Sí,538
Cintura (pulg),Aumento Peso (S/N),0.30886632929776825,0.5786094501824589,49.526811011946656,6.0327827976096375e-12,2.2642103098816637,0.13298490207483815,No,538
Ratio Cintura-Cadera,Aumento Peso (S/N),0.02467800550039323,0.8752314459488826,0.7481736074692072,0.38744349340509054,9.385738679835406,0.002297156403816444,Sí,538
TSH (mUI/L),Aumento Peso (S/N),0.06332018378585363,0.8014199959705487,0.028780791672755622,0.8653504129548784,0.11803017884601898,0.7313160394083122,No,538
AMH (ng/mL),Aumento Peso (S/N),29.55277721221089,8.2896389880061e-08,0.6304664985249513,0.42753695240451106,0.88280419735914,0.347859579624334,No,538
Prolactina (ng/mL),Aumento Peso (S/N),0.04496296599922563,0.8321530502574942,0.10288235588599769,0.7485232180472046,0.08551366971135986,0.7700735940914585,No,538
Vitamina D3 (ng/mL),Aumento Peso (S/N),0.05378661890607369,0.816689445213058,2.8117470063180545,0.09416166346206398,2.522359806009035,0.11283438820822948,No,538
Progesterona (ng/mL),Aumento Peso (S/N),0.3702842679853107,0.5431081027945468,0.45459510107363793,0.5004526153257433,0.3417137908475225,0.5590885387828131,No,538
Glucosa (mg/dl),Aumento Peso (S/N),0.18066853441349634,0.6709705624840079,1.9345163238816898,0.16484446203861558,3.4746334222358164,0.06286505851071796,No,538
Crecimiento Vello (S/N),Aumento Peso (S/N),96.01771613707857,5.866777848697241e-21,7.3735716769350645,0.006833264014122751,0.08371762529648863,0.772433517707744,No,538
Oscurecimiento Piel (S/N),Aumento Peso (S/N),92.71752499089918,2.41940075130794e-20,16.699531495277007,5.052304815665291e-05,0.014091026180694214,0.9055532173889204,No,538
Pérdida Cabello (S/N),Aumento Peso (S/N),3.0884529160728698,0.07942272927567584,21.070883735169684,5.523768190309611e-06,1.2099788924181176,0.2718319324106348,No,538
Acné (S/N),Aumento Peso (S/N),21.899486893633785,3.6463217588387313e-06,12.262028082532218,0.0005009734857307118,0.14583670667969156,0.7026980484292739,No,538
Comida Rápida (S/N),Aumento Peso (S/N),39.17421231163041,7.964734770205126e-10,35.02905943326599,5.8124352285386526e-09,0.05596593588733199,0.8130801774207682,No,538
Ejercicio Regular (S/N),Aumento Peso (S/N),3.991386704208492,0.046240148154811776,2.9080938237766247,0.08871755128986712,1.5636163051220109,0.211684159718162,No,538
Presión Sistólica (mmHg),Aumento Peso (S/N),0.03831798157927535,0.8448804726258732,0.00023251663832756712,0.9878396269961804,0.048037085455317444,0.8265985333584058,No,538
Presión Diastólica (mmHg),Aumento Peso (S/N),0.07571040083793905,0.7833034106737258,5.832939647679133,0.01606369612991184,0.24757962521825358,0.6189893400213535,No,538
Num Folículos (I),Aumento Peso (S/N),254.6454043286564,3.696897305246354e-47,0.22619873268007354,0.6345513414355601,2.0196962572542274,0.15585388951210713,No,538
Num Folículos (D),Aumento Peso (S/N),330.48861774779766,7.660479886399455e-58,1.2714047266106423,0.26000969967580223,0.07225177448063419,0.7881897932354562,No,538
Tamaño Folículo Prom (I) (mm),Aumento Peso (S/N),9.819967104811639,0.001821075729187804,0.9390860465018221,0.33295169995627394,1.224014256994454,0.2690724423252802,No,538
Tamaño Folículo Prom (D) (mm),Aumento Peso (S/N),8.513431758366401,0.003673820958169494,4.539340583276025,0.03358066063838299,2.064174167717675,0.15138221154932524,No,538
Endometrio (mm),Aumento Peso (S/N),5.313367678182797,0.021544962631895245,0.0480870436725195,0.8265098265689016,0.5715938508030958,0.4499596365031868,No,538
Edad (años),Crecimiento Vello (S/N),13.07171915389834,0.0003281907769070136,0.016181722902216766,0.8988241334030662,0.4089951598953427,0.5227542159956844,No,538
Peso (Kg),Crecimiento Vello (S/N),11.76028444608162,0.0006518366150866521,5.615334740438171,0.018158504593354514,0.26296423730960955,0.6083030138759673,No,538
Altura (cm),Crecimiento Vello (S/N),1.7007761238798975,0.19274835625566988,0.15341644631852175,0.6954478823036644,0.6185786369607398,0.43192484614650983,No,538
IMC,Crecimiento Vello (S/N),9.806846314574551,0.0018338752312980712,5.585155705733867,0.018470611750197784,0.027593051143279174,0.8681320281386242,No,538
Grupo Sanguíneo,Crecimiento Vello (S/N),0.0063870686062092695,0.936331509589759,3.1973662932424576,0.07432381318157573,2.916814250592237,0.08824197347977175,No,538
Frecuencia Cardiaca (lpm),Crecimiento Vello (S/N),2.8438391731016344,0.0923089108365083,0.2211903608646909,0.6383264384397411,0.003115671455015161,0.9555075139246414,No,538
Frecuencia Respiratoria (rpm),Crecimiento Vello (S/N),1.2684329852196845,0.2605667342595716,0.6154831605119627,0.43307862173249556,0.1694754491911219,0.6807435967795161,No,538
Hemoglobina (g/dl),Crecimiento Vello (S/N),0.4381313839987355,0.5083112686826685,6.958550134443954,0.00858522841693306,0.006448093204265003,0.9360287268826029,No,538
Ciclo (R/I),Crecimiento Vello (S/N),62.3344010259262,1.6572373779756173e-14,6.230592270608374,0.012856626081532612,0.00526051810325814,0.9422077433373593,No,538
Duración Ciclo (días),Crecimiento Vello (S/N),16.679832525219865,5.103426844889991e-05,0.6540724151911828,0.41902060338039704,0.8339692822585352,0.36153939289491077,No,538
Años Casada,Crecimiento Vello (S/N),8.929667169312557,0.0029348247253980332,1.2994691924012451,0.25482124579406223,0.0563450907241188,0.8124598634261313,No,538
Embarazada (S/N),Crecimiento Vello (S/N),0.05043400121757204,0.8223956966713853,2.493784200756038,0.11488875098988112,0.002932990653773808,0.9568302605728302,No,538
Número Abortos,Crecimiento Vello (S/N),3.806095331588586,0.05158897996993063,2.755160672816635,0.09752816071197166,0.08644295597253909,0.768863107252465,No,538
beta-HCG I (mUI/mL),Crecimiento Vello (S/N),0.913363972095748,0.3396558716000808,0.7027599297551358,0.4022329416995488,1.9331816664209984,0.16498997742345242,No,538
beta-HCG II (mUI/mL),Crecimiento Vello (S/N),0.00040387091011148956,0.9839738671094443,0.2318867245075635,0.6303256400908043,3.1101762730428018,0.07837635690279668,No,538
FSH (mUI/mL),Crecimiento Vello (S/N),0.1356744965266781,0.7127655586327706,0.02202571554619825,0.882074734926592,0.3845656822375971,0.5354343706389748,No,538
LH (mUI/mL),Crecimiento Vello (S/N),4.799702094282219,0.02889612041346883,1.1041844983295055,0.2938249072780199,0.0006506636232282138,0.9796592097673458,No,538
Ratio FSH/LH,Crecimiento Vello (S/N),2.0793563944955986,0.14988932703207375,2.015810670406178,0.15625161795797474,0.42439104496774355,0.5150343429440438,No,538
Cadera (pulg),Crecimiento Vello (S/N),6.106046700518285,0.013783025382730879,4.368601419395561,0.03707943273364653,0.000632574423220504,0.9799438909075497,No,538
Cintura (pulg),Crecimiento Vello (S/N),5.125719741320963,0.023974096435269165,6.869266062393163,0.009018912535592529,1.0659236645433066,0.30233536626461405,No,538
Ratio Cintura-Cadera,Crecimiento Vello (S/N),0.09432233071580066,0.758872214893222,1.2870221339593912,0.25710645268027554,3.822404651686105,0.051092862271516166,No,538
TSH (mUI/L),Crecimiento Vello (S/N),0.36778465477888467,0.5444720254589892,0.368552063103636,0.5440526130861199,2.421254501656936,0.12029147323591526,No,538
AMH (ng/mL),Crecimiento Vello (S/N),26.64086427450182,3.461553915447279e-07,1.3885847798791968,0.23916907303830437,0.18934617716421576,0.6636371551092427,No,538
Prolactina (ng/mL),Crecimiento Vello (S/N),0.2125349941103263,0.6449754205640035,0.7059911905111016,0.4011538995316606,0.27312662398051857,0.6014588242448199,No,538
Vitamina D3 (ng/mL),Crecimiento Vello (S/N),0.5358343910794457,0.46448536785237116,0.24238052504428248,0.6226943777823014,0.9975655565057988,0.3183526545080374,No,538
Progesterona (ng/mL),Crecimiento Vello (S/N),1.267645484884182,0.26071459446944045,0.24530994904018352,0.6206007629442973,0.1750421270600931,0.6758372463730687,No,538
Glucosa (mg/dl),Crecimiento Vello (S/N),0.12312717045129135,0.7258056494005097,2.0948985937731415,0.1483783078846203,1.9120087596817337,0.16731824120617822,No,538
Aumento Peso (S/N),Crecimiento Vello (S/N),79.3418621183829,8.197721831367099e-18,7.375700240289951,0.006825292885692118,0.2378940651020252,0.6259314714208386,No,538
Oscurecimiento Piel (S/N),Crecimiento Vello (S/N),85.17534636969026,6.353978908023804e-19,20.642290934451847,6.85093131717481e-06,2.087083349018261,0.14913594124497584,No,538
Pérdida Cabello (S/N),Crecimiento Vello (S/N),4.582272948319324,0.0327565684105417,11.458472778562127,0.0007640157860198042,4.599301119409377,0.0324356029331411,Sí,538
Acné (S/N),Crecimiento Vello (S/N),33.618525340946285,1.1483738748424619e-08,0.371039210843221,0.5426974062098883,0.39695172795105493,0.5289372190636172,No,538
Comida Rápida (S/N),Crecimiento Vello (S/N),48.93333255047651,7.958149504682366e-12,11.64110108201254,0.0006939914024437293,0.8141803467713712,0.3672940212193324,No,538
Ejercicio Regular (S/N),Crecimiento Vello (S/N),1.950870586194389,0.16307327102946823,0.13829653460880592,0.7101279159326519,2.215498474588056,0.13722121607546398,No,538
Presión Sistólica (mmHg),Crecimiento Vello (S/N),0.6389205027903551,0.4244573624695599,1.6497488060184984,0.19955005090071584,0.13876407679615196,0.70966058833901,No,538
Presión Diastólica (mmHg),Crecimiento Vello (S/N),0.08689647948057501,0.7682749148003153,1.0853063924626407,0.29798492193453224,0.058028896072593344,0.809731377990392,No,538
Num Folículos (I),Crecimiento Vello (S/N),229.14819163900106,2.4790710456965648e-43,0.7487945921683815,0.3872467162122998,1.808386398491098,0.1792728014609217,No,538
Num Folículos (D),Crecimiento Vello (S/N),321.500179956077,1.2586283571611872e-56,1.1017107433208555,0.29436576502710043,0.050628687219145284,0.8220589770045752,No,538
Tamaño Folículo Prom (I) (mm),Crecimiento Vello (S/N),9.265931990810572,0.002449584142708424,0.5855505773619221,0.4444829123480951,9.159276237611355,0.0025939343011967685,Sí,538
Tamaño Folículo Prom (D) (mm),Crecimiento Vello (S/N),6.213663805805624,0.012978675043622833,1.3002808169145212,0.25467310935738835,12.74386286694742,0.0003893941674400498,Sí,538
Endometrio (mm),Crecimiento Vello (S/N),4.401176038800601,0.03638351125867057,0.03110822933075004,0.8600660148141586,1.4341108333380352,0.23162601647230752,No,538
Edad (años),Oscurecimiento Piel (S/N),10.448804733335884,0.0013030332805146088,0.393583835165379,0.5306897284791943,0.07286664190974804,0.7873120681239498,No,538
Peso (Kg),Oscurecimiento Piel (S/N),12.222115390356658,0.0005115576869034172,4.4093877054260995,0.036210251761424214,0.29309213546735646,0.5884715821460612,No,538
Altura (cm),Oscurecimiento Piel (S/N),0.9462631973355202,0.33111271699901135,1.1160113043268032,0.29125663265632756,0.12089764885445176,0.7281999579050278,No,538
IMC,Oscurecimiento Piel (S/N),11.481396420656507,0.0007548471424093584,2.8629567764954333,0.09122411689070692,0.5323334624667266,0.4659473838552638,No,538
Grupo Sanguíneo,Oscurecimiento Piel (S/N),0.47327776179962766,0.49178181282664424,0.014414995558820982,0.9044788230249691,0.5909987141413621,0.44237304356606233,No,538
Frecuencia Cardiaca (lpm),Oscurecimiento Piel (S/N),4.831387116497695,0.028374565410436762,0.40075503370533494,0.5269705863358932,1.3942368833531424,0.2382165475772884,No,538
Frecuencia Respiratoria (rpm),Oscurecimiento Piel (S/N),1.0581972944655316,0.30409241257512487,0.32671490574571577,0.5678404066779242,1.2101890804292543,0.27179034649286254,No,538
Hemoglobina (g/dl),Oscurecimiento Piel (S/N),4.640259043492917,0.03167699505162091,0.3579808262516902,0.5498834586483091,0.07733459930381667,0.7810501515939746,No,538
Ciclo (R/I),Oscurecimiento Piel (S/N),73.47176345034327,1.1041159170045873e-16,0.6532647953028523,0.41930775666791964,0.7241284971971041,0.39517442865956987,No,538
Duración Ciclo (días),Oscurecimiento Piel (S/N),18.1468705104948,2.4171153268027087e-05,1.4651905048117986,0.22664155439440123,0.023809337065343075,0.8774293317246915,No,538
Años Casada,Oscurecimiento Piel (S/N),7.850588917905911,0.005264809896920577,0.5574960335148601,0.4555994903449082,3.172148763005212,0.07547217345850396,No,538
Embarazada (S/N),Oscurecimiento Piel (S/N),0.7054420726492943,0.4013369737212028,0.4835603369357662,0.4871165315750098,0.04487255718311797,0.8323193673592943,No,538
Número Abortos,Oscurecimiento Piel (S/N),2.0389823600212806,0.15389673743424184,0.3006289043021649,0.5837175595235728,0.15749111215675393,0.6916355230678559,No,538
beta-HCG I (mUI/mL),Oscurecimiento Piel (S/N),1.7467510569256808,0.18685161849034154,2.5227529227018315,0.11280641076607778,4.137880582018577,0.04242730816075958,Sí,538
beta-HCG II (mUI/mL),Oscurecimiento Piel (S/N),0.11158048751281326,0.7384830377288663,1.2630622320469764,0.26157721140095386,0.39026869611400844,0.5324250253257492,No,538
FSH (mUI/mL),Oscurecimiento Piel (S/N),0.0032581879470930503,0.954502390248046,0.2536204628980221,0.6147449382497321,2.247585054795685,0.13441403589957512,No,538
LH (mUI/mL),Oscurecimiento Piel (S/N),4.380672520638643,0.036819930201703294,0.7138311422433727,0.3985532640321203,0.5907714188583492,0.4424607572581003,No,538
Ratio FSH/LH,Oscurecimiento Piel (S/N),0.12967318868525882,0.7189135078189386,0.7524154042601388,0.3861021915207079,1.8411212779474733,0.17539286763761927,No,538
Cadera (pulg),Oscurecimiento Piel (S/N),9.924957694215793,0.0017218728410920434,0.3523566439420579,0.5530334580492839,7.555187130385102,0.006186275303544065,Sí,538
Cintura (pulg),Oscurecimiento Piel (S/N),12.517025494261796,0.00043839086638698254,0.03403581849201404,0.8537006881535574,3.767376924686577,0.05278735153323445,No,538
Ratio Cintura-Cadera,Oscurecimiento Piel (S/N),1.088701847812872,0.29723113631137177,2.9666793266450977,0.08557516859609769,2.076095127413008,0.15020859762209407,No,538
TSH (mUI/L),Oscurecimiento Piel (S/N),1.1444360396927342,0.28520022656165134,2.457016967748776,0.1175931472433883,0.09765385557032329,0.7547854668488793,No,538
AMH (ng/mL),Oscurecimiento Piel (S/N),26.016669760814167,4.7099824573838706e-07,1.494713215328439,0.22202593577880977,2.3941030179202443,0.12238600187056423,No,538
Prolactina (ng/mL),Oscurecimiento Piel (S/N),0.016095483771912545,0.899092647794763,0.1673281630151915,0.6826613604384707,0.36104903336998684,0.5481791561965755,No,538
Vitamina D3 (ng/mL),Oscurecimiento Piel (S/N),0.015166252093330203,0.9020335946946684,0.6192240387000292,0.4316848745924847,0.9132759629455932,0.3396791201845555,No,538
Progesterona (ng/mL),Oscurecimiento Piel (S/N),0.45611712080077943,0.49973658836922963,0.19946864905496448,0.6553311428138828,0.1554577204139657,0.6935307972642921,No,538
Glucosa (mg/dl),Oscurecimiento Piel (S/N),0.3375534850294676,0.561489936532811,0.8303485948826903,0.3625829028490325,0.17214152916903142,0.6783821682821972,No,538
Aumento Peso (S/N),Oscurecimiento Piel (S/N),67.9132169842272,1.3291441481288176e-15,16.71256835856817,5.0187564918564794e-05,0.43098108696069226,0.5117907287562016,No,538
Crecimiento Vello (S/N),Oscurecimiento Piel (S/N),76.62627215465878,2.720516795663225e-17,20.601790485977975,6.991880931892622e-06,1.0352733844236837,0.30938407330357687,No,538
Pérdida Cabello (S/N),Oscurecimiento Piel (S/N),9.602847400082233,0.0020450764495384874,1.3056088738312297,0.25370327473980275,0.008295718333623492,0.9274625161889021,No,538
Acné (S/N),Oscurecimiento Piel (S/N),31.684893381439018,2.932291659946336e-08,0.7588965444345933,0.384065533523122,0.7223334757012394,0.3957604356104265,No,538
Comida Rápida (S/N),Oscurecimiento Piel (S/N),42.13235143918873,1.9510373881121606e-10,19.230874280080062,1.3956539580022175e-05,0.5741393558547953,0.4489529556621098,No,538
Ejercicio Regular (S/N),Oscurecimiento Piel (S/N),0.027831811904172523,0.8675679950036841,4.844832819377863,0.02815622026705249,0.48000545259778515,0.4887210365912025,No,538
Presión Sistólica (mmHg),Oscurecimiento Piel (S/N),0.17328991983731462,0.6773716079800776,0.20682468323132,0.6494524719036863,2.9609169743436796,0.0858788229344478,No,538
Presión Diastólica (mmHg),Oscurecimiento Piel (S/N),0.7884837420605254,0.374958778822044,0.0558842985555074,0.813214029781749,0.4673955661803524,0.4944843159533765,No,538
Num Folículos (I),Oscurecimiento Piel (S/N),224.0563219221887,1.4926230790653055e-42,0.9076418142054677,0.3411719168593059,0.7951269468147178,0.37295594882610683,No,538
Num Folículos (D),Oscurecimiento Piel (S/N),293.87319946982166,8.290537483836177e-53,0.13116259334622624,0.7173729310436026,0.604656675682759,0.43715114556920587,No,538
Tamaño Folículo Prom (I) (mm),Oscurecimiento Piel (S/N),8.816886641167246,0.003118655017029538,0.4355606082028187,0.5095575288470198,3.316655582449499,0.06914062468638439,No,538
Tamaño Folículo Prom (D) (mm),Oscurecimiento Piel (S/N),5.071871630112466,0.024722545960343956,0.4666976416567179,0.4948066244405164,1.4141982834827909,0.23488921946220817,No,538
Endometrio (mm),Oscurecimiento Piel (S/N),2.2833255250587685,0.13136271830224505,1.8873647268265674,0.1700758623638476,0.5472291676883622,0.45977714824170457,No,538
Edad (años),Pérdida Cabello (S/N),13.989185862389201,0.00020374885565411214,1.6310817202058097,0.2021085186491485,1.0395016511639088,0.30839908669332144,No,538
Peso (Kg),Pérdida Cabello (S/N),23.786895478554978,1.4220393203856963e-06,0.8713450039661963,0.3510050988018153,4.056067983546414,0.04451388599795796,Sí,538
Altura (cm),Pérdida Cabello (S/N),3.1715694886218877,0.07549877612433846,0.48757446290458917,0.48531523506480767,2.2583891341379116,0.13348335359776217,No,538
IMC,Pérdida Cabello (S/N),20.292055088866476,8.171048389536093e-06,1.6227200984823151,0.20326707518045123,8.065649815702496,0.0046832644051300895,Sí,538
Grupo Sanguíneo,Pérdida Cabello (S/N),1.0995689684245322,0.29483507092634886,1.4331926465624485,0.231775274393474,2.0694061488710496,0.15086584901058211,No,538
Frecuencia Cardiaca (lpm),Pérdida Cabello (S/N),4.158213729540967,0.04192490109728843,0.2198849350914644,0.6393189811276683,0.5919546883124385,0.44200442492509595,No,538
Frecuencia Respiratoria (rpm),Pérdida Cabello (S/N),1.083293962691458,0.29843283967950973,1.213785558307548,0.2710800141408052,0.0008412262965096095,0.9768723152052415,No,538
Hemoglobina (g/dl),Pérdida Cabello (S/N),3.248826431755943,0.0720383493129974,2.8068813271860873,0.09444609327966831,0.12121331667473556,0.7278594620586702,No,538
